Ping_date, Ping_time, Ping_milliseconds, Latitude, Longitude, Position_status, Depth, Line_status, Ping_status, Altitude, GPS_UTC_time
2016-10-25, 22:55:28, 202.0,-36.36996504, 150.16185081, 1,53.004394, 1,0,0.000000, 22:55:22
2016-10-25, 22:55:28, 458.0,-36.36996624, 150.16185964, 1,53.141637, 1,0,0.000000, 22:55:22
2016-10-25, 22:55:28, 713.0,-36.36996744, 150.16186843, 1,53.141637, 1,0,0.000000, 22:55:22
2016-10-25, 22:55:28, 968.0,-36.36996864, 150.16187722, 1,53.133282, 1,0,0.000000, 22:55:23
2016-10-25, 22:55:29, 272.0,-36.36997007, 150.16188770, 1,53.133282, 1,0,0.000000, 22:55:23
2016-10-25, 22:55:29, 527.0,-36.36997126, 150.16189650, 1,53.133282, 1,0,0.000000, 22:55:23
2016-10-25, 22:55:29, 783.0,-36.36997247, 150.16190532, 1,53.133282, 1,0,0.000000, 22:55:23
2016-10-25, 22:55:30, 038.0,-36.36997351, 150.16191429, 1,53.096045, 1,0,0.000000, 22:55:24
2016-10-25, 22:55:30, 342.0,-36.36997428, 150.16192553, 1,53.096045, 1,0,0.000000, 22:55:24
2016-10-25, 22:55:30, 597.0,-36.36997492, 150.16193496, 1,53.096045, 1,0,0.000000, 22:55:24
2016-10-25, 22:55:30, 853.0,-36.36997557, 150.16194443, 1,53.061779, 1,0,0.000000, 22:55:24
2016-10-25, 22:55:31, 108.0,-36.36997621, 150.16195386, 1,53.010351, 1,0,0.000000, 22:55:25
2016-10-25, 22:55:31, 363.0,-36.36997685, 150.16196329, 1,53.010351, 1,0,0.000000, 22:55:25
2016-10-25, 22:55:31, 618.0,-36.36997750, 150.16197272, 1,53.010351, 1,0,0.000000, 22:55:25
2016-10-25, 22:55:31, 873.0,-36.36997814, 150.16198215, 1,53.001870, 1,0,0.000000, 22:55:25
2016-10-25, 22:55:32, 129.0,-36.36997893, 150.16199183, 1,52.984698, 1,0,0.000000, 22:55:26
2016-10-25, 22:55:32, 434.0,-36.36997994, 150.16200347, 1,52.969811, 1,0,0.000000, 22:55:26
2016-10-25, 22:55:32, 690.0,-36.36998079, 150.16201324, 1,52.954132, 1,0,0.000000, 22:55:26
2016-10-25, 22:55:32, 945.0,-36.36998164, 150.16202297, 1,52.954132, 1,0,0.000000, 22:55:26
2016-10-25, 22:55:33, 200.0,-36.36998248, 150.16203270, 1,52.949041, 1,0,0.000000, 22:55:27
2016-10-25, 22:55:33, 454.0,-36.36998332, 150.16204240, 1,52.717047, 1,0,0.000000, 22:55:27
2016-10-25, 22:55:33, 710.0,-36.36998417, 150.16205216, 1,52.717047, 1,0,0.000000, 22:55:27
2016-10-25, 22:55:33, 965.0,-36.36998503, 150.16206190, 1,52.717047, 1,0,0.000000, 22:55:28
2016-10-25, 22:55:34, 220.0,-36.36998652, 150.16207186, 1,52.717047, 1,0,0.000000, 22:55:28
2016-10-25, 22:55:34, 475.0,-36.36998800, 150.16208182, 1,52.717047, 1,0,0.000000, 22:55:28
2016-10-25, 22:55:34, 730.0,-36.36998948, 150.16209177, 1,52.717047, 1,0,0.000000, 22:55:28
2016-10-25, 22:55:34, 985.0,-36.36999097, 150.16210173, 1,52.748365, 1,0,0.000000, 22:55:29
2016-10-25, 22:55:35, 251.0,-36.36999251, 150.16211212, 1,52.816096, 1,0,0.000000, 22:55:29
2016-10-25, 22:55:35, 505.0,-36.36999399, 150.16212204, 1,52.867054, 1,0,0.000000, 22:55:29
2016-10-25, 22:55:35, 760.0,-36.36999547, 150.16213199, 1,52.868279, 1,0,0.000000, 22:55:29
2016-10-25, 22:55:36, 014.0,-36.36999708, 150.16214205, 1,52.887657, 1,0,0.000000, 22:55:30
2016-10-25, 22:55:36, 285.0,-36.36999934, 150.16215339, 1,52.887657, 1,0,0.000000, 22:55:30
2016-10-25, 22:55:36, 541.0,-36.37000149, 150.16216410, 1,52.887657, 1,0,0.000000, 22:55:30
2016-10-25, 22:55:36, 797.0,-36.37000363, 150.16217481, 1,52.896348, 1,0,0.000000, 22:55:30
2016-10-25, 22:55:37, 052.0,-36.37000576, 150.16218547, 1,53.005185, 1,0,0.000000, 22:55:31
2016-10-25, 22:55:37, 307.0,-36.37000789, 150.16219614, 1,53.039084, 1,0,0.000000, 22:55:31
2016-10-25, 22:55:37, 562.0,-36.37001003, 150.16220681, 1,53.040954, 1,0,0.000000, 22:55:31
2016-10-25, 22:55:37, 843.0,-36.37001238, 150.16221856, 1,53.040954, 1,0,0.000000, 22:55:31
2016-10-25, 22:55:38, 099.0,-36.37001416, 150.16222850, 1,53.047629, 1,0,0.000000, 22:55:32
2016-10-25, 22:55:38, 404.0,-36.37001592, 150.16223959, 1,53.047629, 1,0,0.000000, 22:55:32
2016-10-25, 22:55:38, 659.0,-36.37001740, 150.16224887, 1,53.047629, 1,0,0.000000, 22:55:32
2016-10-25, 22:55:38, 914.0,-36.37001887, 150.16225814, 1,53.229335, 1,0,0.000000, 22:55:32
2016-10-25, 22:55:39, 169.0,-36.37002035, 150.16226742, 1,53.268046, 1,0,0.000000, 22:55:33
2016-10-25, 22:55:39, 424.0,-36.37002182, 150.16227670, 1,53.269055, 1,0,0.000000, 22:55:33
2016-10-25, 22:55:39, 679.0,-36.37002330, 150.16228597, 1,53.269055, 1,0,0.000000, 22:55:33
2016-10-25, 22:55:39, 934.0,-36.37002477, 150.16229525, 1,53.332817, 1,0,0.000000, 22:55:33
2016-10-25, 22:55:40, 190.0,-36.37002573, 150.16230396, 1,53.389877, 1,0,0.000000, 22:55:34
2016-10-25, 22:55:40, 445.0,-36.37002659, 150.16231253, 1,53.389877, 1,0,0.000000, 22:55:34
2016-10-25, 22:55:40, 700.0,-36.37002744, 150.16232110, 1,53.389877, 1,0,0.000000, 22:55:34
2016-10-25, 22:55:40, 955.0,-36.37002830, 150.16232966, 1,53.389877, 1,0,0.000000, 22:55:34
2016-10-25, 22:55:41, 211.0,-36.37002916, 150.16233827, 1,53.389877, 1,0,0.000000, 22:55:35
2016-10-25, 22:55:41, 466.0,-36.37003002, 150.16234683, 1,53.371775, 1,0,0.000000, 22:55:35
2016-10-25, 22:55:41, 721.0,-36.37003087, 150.16235540, 1,53.228040, 1,0,0.000000, 22:55:35
2016-10-25, 22:55:41, 976.0,-36.37003171, 150.16236404, 1,53.214056, 1,0,0.000000, 22:55:36
2016-10-25, 22:55:42, 230.0,-36.37003235, 150.16237355, 1,53.092280, 1,0,0.000000, 22:55:36
2016-10-25, 22:55:42, 486.0,-36.37003299, 150.16238312, 1,53.067885, 1,0,0.000000, 22:55:36
2016-10-25, 22:55:42, 741.0,-36.37003362, 150.16239266, 1,53.067885, 1,0,0.000000, 22:55:36
2016-10-25, 22:55:42, 996.0,-36.37003426, 150.16240220, 1,53.067885, 1,0,0.000000, 22:55:37
2016-10-25, 22:55:43, 251.0,-36.37003489, 150.16241174, 1,53.067885, 1,0,0.000000, 22:55:37
2016-10-25, 22:55:43, 505.0,-36.37003553, 150.16242124, 1,53.065105, 1,0,0.000000, 22:55:37
2016-10-25, 22:55:43, 761.0,-36.37003617, 150.16243081, 1,53.065105, 1,0,0.000000, 22:55:37
2016-10-25, 22:55:44, 016.0,-36.37003680, 150.16244041, 1,53.004380, 1,0,0.000000, 22:55:38
2016-10-25, 22:55:44, 286.0,-36.37003748, 150.16245077, 1,52.976090, 1,0,0.000000, 22:55:38
