transect,lon1,lat1,lon2,lat2
1,150.09,-36.43,150.25,-36.43
2,150.08,-36.4,150.24,-36.4
3,150.1,-36.37,150.22,-36.37
4,150.11,-36.34,150.23,-36.34
5,150.15,-36.31,150.23,-36.31
6,150.15,-36.28,150.23,-36.28
7,150.16,-36.25,150.2,-36.25
8,150.15,-36.22,150.23,-36.22
9,150.14,-36.19,150.26,-36.19
