"survey_id","transect_id","file_name","cast_time_UTC"
"2016_S2","T5S3","CC1449004_20161027_210818",2016-10-27 21:08:18
"2016_S2","T6S3","CC1449004_20161027_213208",2016-10-27 21:32:08
"2016_S2","T6S2","CC1449004_20161027_215557",2016-10-27 21:55:57
"2016_S2","T6S1","CC1449004_20161027_221948",2016-10-27 22:19:48
"2016_S2","T7S2","CC1449004_20161027_224714",2016-10-27 22:47:14
"2016_S2","T7S1","CC1449004_20161027_231015",2016-10-27 23:10:15
"2016_S2","T8S1","CC1449004_20161027_232945",2016-10-27 23:29:45
"2016_S2","T8S2","CC1449004_20161027_235115",2016-10-27 23:51:15
"2016_S2","T8S3","CC1449004_20161028_001411",2016-10-28 00:14:11
"2016_S2","T9S4","CC1449004_20161028_003850",2016-10-28 00:38:50
"2016_S2","T9S3","CC1449004_20161028_010257",2016-10-28 01:02:57
"2016_S2","T9S2","CC1449004_20161028_012928",2016-10-28 01:29:28
"2016_S2","T9S1","CC1449004_20161028_015412",2016-10-28 01:54:12
"2016_S2","T1S1","CC1449004_20161028_034201",2016-10-28 03:42:01
"2016_S2","T1S2","CC1449004_20161028_040542",2016-10-28 04:05:42
"2016_S2","T1S3","CC1449004_20161028_043212",2016-10-28 04:32:12
"2016_S2","T1S4","CC1449004_20161028_045651",2016-10-28 04:56:51
"2016_S2","T1S5","CC1449004_20161028_051840",2016-10-28 05:18:40
"2017_S1","T4S4","CC1449004_20170821_020437",2017-08-21 02:04:37
"2017_S1","T4S3","CC1449004_20170821_023234",2017-08-21 02:32:34
"2017_S1","T4S2","CC1449004_20170821_030410",2017-08-21 03:04:10
"2017_S1","T4S1","CC1449004_20170821_032848",2017-08-21 03:28:48
"2017_S1","T5S1","CC1449004_20170821_042747",2017-08-21 04:27:47
"2017_S1","T5S2","CC1449004_20170821_045716",2017-08-21 04:57:16
"2017_S1","T5S3","CC1449004_20170821_052117",2017-08-21 05:21:17
"2017_S1","T6S1","CC1449004_20170821_232018",2017-08-21 23:20:18
"2017_S1","T6S2","CC1449004_20170821_234408",2017-08-21 23:44:08
"2017_S1","T6S3","CC1449004_20170822_000637",2017-08-22 00:06:37
"2017_S1","T7S2","CC1449004_20170822_002207",2017-08-22 00:22:07
"2017_S1","T7S1","CC1449004_20170822_004645",2017-08-22 00:46:45
"2017_S1","T8S1","CC1449004_20170822_015209",2017-08-22 01:52:09
"2017_S1","T8S2","CC1449004_20170822_021611",2017-08-22 02:16:11
"2017_S1","T8S3","CC1449004_20170822_023911",2017-08-22 02:39:11
"2017_S1","T9S4","CC1449004_20170822_031342",2017-08-22 03:13:42
"2017_S1","T9S3","CC1449004_20170822_033927",2017-08-22 03:39:27
"2017_S1","T9S2","CC1449004_20170822_040951",2017-08-22 04:09:51
"2017_S1","T9S1","CC1449004_20170822_043513",2017-08-22 04:35:13
"2017_S1","T1S1","CC1449004_20170822_234708",2017-08-22 23:47:08
"2017_S1","T1S2","CC1449004_20170823_001017",2017-08-23 00:10:17
"2017_S1","T1S3","CC1449004_20170823_003604",2017-08-23 00:36:04
"2017_S1","T1S4","CC1449004_20170823_010137",2017-08-23 01:01:37
"2017_S1","T1S5","CC1449004_20170823_012851",2017-08-23 01:28:51
"2017_S1","T2S5","CC1449004_20170823_033908",2017-08-23 03:39:08
"2017_S1","T2S4","CC1449004_20170823_040413",2017-08-23 04:04:13
"2017_S1","T2S3","CC1449004_20170823_043037",2017-08-23 04:30:37
"2017_S1","T2S2","CC1449004_20170823_045512",2017-08-23 04:55:12
"2017_S1","T2S1","CC1449004_20170823_052100",2017-08-23 05:21:00
"2017_S1","T3S4","CC1449004_20170823_055348",2017-08-23 05:53:48
"2017_S1","T3S3","CC1449004_20170823_061745",2017-08-23 06:17:45
"2017_S1","T3S2","CC1449004_20170823_064045",2017-08-23 06:40:45
"2017_S1","T3S1","CC1449004_20170823_070506",2017-08-23 07:05:06
"2017_S2","T1S1","CC1449004_20171002_222452",2017-10-02 22:24:52
"2017_S2","T1S2","CC1449004_20171002_224933",2017-10-02 22:49:33
"2017_S2","T1S3","CC1449004_20171002_231536",2017-10-02 23:15:36
"2017_S2","T1S4","CC1449004_20171002_234004",2017-10-02 23:40:04
"2017_S2","T1S5","CC1449004_20171003_000824",2017-10-03 00:08:24
"2017_S2","T2S5","CC1449004_20171003_002548",2017-10-03 00:25:48
"2017_S2","T2S4","CC1449004_20171003_005545",2017-10-03 00:55:45
"2017_S2","T2S3","CC1449004_20171003_012633",2017-10-03 01:26:33
"2017_S2","T2S2","CC1449004_20171003_015828",2017-10-03 01:58:28
"2017_S2","T2S1","CC1449004_20171003_023354",2017-10-03 02:33:54
"2017_S2","T3S1","CC1449004_20171003_200626",2017-10-03 20:06:26
"2017_S2","T3S2","CC1449004_20171003_204401",2017-10-03 20:44:01
"2017_S2","T3S3","CC1449004_20171003_213027",2017-10-03 21:30:27
"2017_S2","T3S4","CC1449004_20171003_221524",2017-10-03 22:15:24
"2017_S2","T4S4","CC1449004_20171003_223447",2017-10-03 22:34:47
"2017_S2","T4S3","CC1449004_20171003_230749",2017-10-03 23:07:49
"2017_S2","T4S2","CC1449004_20171003_233940",2017-10-03 23:39:40
"2017_S2","T4S1","CC1449004_20171004_001815",2017-10-04 00:18:15
"2017_S2","T5S1","CC1449004_20171004_204742",2017-10-04 20:47:42
"2017_S2","T5S2","CC1449004_20171004_212442",2017-10-04 21:24:42
"2017_S2","T5S3","CC1449004_20171004_215323",2017-10-04 21:53:23
"2017_S2","T6S3","CC1449004_20171004_221228",2017-10-04 22:12:28
"2017_S2","T6S2","CC1449004_20171004_224257",2017-10-04 22:42:57
"2017_S2","T6S1","CC1449004_20171004_231616",2017-10-04 23:16:16
"2017_S2","T7S1","CC1449004_20171004_232816",2017-10-04 23:28:16
"2017_S2","T7S2","CC1449004_20171004_235257",2017-10-04 23:52:57
