% Device,CC1449004
% File name,CC1449004_20170814_223451
% Cast time (UTC),2017-08-14 22:34:51
% Cast time (local),2017-08-15 08:34:51
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-36.4299568
% Start longitude,150.0898089
% Start altitude,4.6399998664855957
% Start GPS horizontal error(Meter),8.2899999618530273
% Start GPS vertical error(Meter),13.630000114440918
% Start GPS number of satellites,4
% End latitude,-36.4306451
% End longitude,150.0898894
% End altitude,8.4899997711181641
% End GPS horizontal error(Meter),14.369999885559082
% End GPS vertical error(Meter),24.059999465942383
% End GPS number of satellites,4
% Cast duration (Seconds),113
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2017-07-10
% Temperature calibration date,2017-07-08
% Pressure calibration date,2017-06-13
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14918544904177764,16.502588660033787,45132.854899958766,54373.541936940492,35.645086999058293,1512.073584248466,1026.1288714820003
0.44999999999999996,0.44755675715839843,16.40703121443109,44984.247665935836,54319.576104091742,35.598695555436,1511.7351189267295,1026.1168829625551
0.74999999999999989,0.74593249200184963,16.389234206954875,44936.208673536225,54284.899847199071,35.571866699985833,1511.6550834498289,1026.1017313370094
1.05,1.0443105885463115,16.399765544949542,44947.582203009326,54284.826992809612,35.572428270755644,1511.6927257604739,1026.1010298993376
1.35,1.3426888278751294,16.407553191455683,44956.44556592009,54285.320069572124,35.573213474779671,1511.7222786395626,1026.1011398633748
1.65,1.6410676257921539,16.428581065169631,44977.798500046047,54283.537287088446,35.57324716695549,1511.7911854023434,1026.0975786075526
1.9500000000000002,1.939448442178074,16.462341921235158,45007.00879203347,54274.561815070665,35.568875088732021,1511.8936327446518,1026.0876479191077
2.25,2.2378307668489041,16.473963223981904,45020.825021664525,54276.010202506623,35.57062250569566,1511.935887106308,1026.0875956161997
2.55,2.5362145999036367,16.468441068413906,44996.966404121384,54254.470682761108,35.554301435383131,1511.9053152160957,1026.0776644423561
2.85,2.83460517594308,16.448560943811906,44915.370986266083,54182.0632170485,35.499636815945678,1511.7869916819839,1026.0416123485634
