% Device,CC1831006
% File name,CC1831006_20191002_013353
% Cast time (UTC),2019-10-02 01:33:53
% Cast time (local),2019-10-02 11:33:53
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-36.3100574
% Start longitude,150.2300898
% Start altitude,12.717000007629395
% Start GPS horizontal error(Meter),4.2049999237060547
% Start GPS vertical error(Meter),5.2340002059936523
% Start GPS number of satellites,11
% End latitude,-36.3113153
% End longitude,150.2299541
% End altitude,13.484000205993652
% End GPS horizontal error(Meter),4.9120001792907715
% End GPS vertical error(Meter),6.4070000648498535
% End GPS number of satellites,11
% Cast duration (Seconds),245.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2018-08-01
% Temperature calibration date,2018-07-31
% Pressure calibration date,2018-07-24
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.1492510128343022,18.044738169687012,46598.083899907571,54127.503013507579,35.559774858635279,1516.557448492867,1025.6915527569454
0.44999999999999996,0.44773813040005833,17.847099063212049,46438.967641953015,54191.495640628913,35.595677885595,1516.0264276597686,1025.7691910483393
0.74999999999999989,0.7462151940836973,17.739533600257257,46287.697415161027,54150.915459314245,35.559471326568485,1515.674949666316,1025.7691762757954
1.05,1.0446943901876371,17.713666286314673,46228.413573667873,54114.312341854995,35.530896077509574,1515.5714236074989,1025.7549248671219
1.35,1.3431797086298596,17.718369097986827,46191.543858724275,54065.200561344849,35.4948902743878,1515.5491858873077,1025.7274875664064
1.65,1.6416678155757716,17.70189397367681,46179.9826971113,54072.522785029782,35.499208700174286,1515.5106942672385,1025.7361498872242
1.9500000000000002,1.9401524276475006,17.684638225686367,46178.058150238525,54092.12783540698,35.51252263026042,1515.4801429156876,1025.7518980517968
2.25,2.2386341341925293,17.66678181041685,46158.461731097559,54091.801364578474,35.511123200824372,1515.431030316762,1025.7565100820821
2.55,2.5371147737129665,17.657694946549789,46148.735765300211,54091.923887501078,35.510565769169212,1515.4086528133646,1025.7596223159296
2.85,2.8355947980357157,17.656489372507242,46147.48602049602,54091.987760060227,35.5104265343618,1515.4099331722246,1025.7611288976618
3.15,3.1340743465744207,17.649299875663829,46138.938283280208,54091.0852203785,35.509224900423305,1515.3923963991092,1025.7632829320828
3.4499999999999997,3.43255263784221,17.635556987208069,46128.466553747836,54096.240102583557,35.512097358997217,1515.3602137434984,1025.7701609196683
3.75,3.7310288765844537,17.62591654254085,46124.788528767524,54104.160414632708,35.517245538066113,1515.3426914627455,1025.777781095745
4.05,4.029505033258312,17.620978699288685,46106.039281914927,54088.433312635781,35.505260918430096,1515.3194685318817,1025.7711154497397
4.35,4.327981216113673,17.616327971505381,46108.13662823398,54096.796724325162,35.511028069511504,1515.31733663936,1025.7779915890999
4.6499999999999995,4.626456296653001,17.612902896580664,46103.192790527493,54095.3439647348,35.509640904789691,1515.3106525430785,1025.7790825601451
4.9499999999999993,4.9249309757282953,17.607923339748687,46097.562521342705,54095.058979720976,35.509021580591345,1515.300264452058,1025.7811414859038
5.2499999999999991,5.2234051706128923,17.596830131839795,46082.883476818432,54091.916386957775,35.505937220212118,1515.26904968489,1025.7828010839962
5.55,5.5218781601768745,17.58833192702539,46079.874539390468,54099.177467607551,35.510663811152078,1515.2543844638049,1025.7898167567407
5.85,5.8203498374088047,17.583756722057739,46075.312585309373,54099.633442442457,35.510612739031913,1515.2458267035324,1025.7922119363047
6.1499999999999995,6.118820877878222,17.57971458779733,46071.452500411222,54100.236399440975,35.510701256441926,1515.238997937282,1025.7945840772143
6.4499999999999993,6.4172908904069077,17.576503340791518,46072.831058822718,54105.935720044741,35.514590359129819,1515.2389539688613,1025.7996681230045
6.7499999999999991,6.7157597456080662,17.571661704919627,46069.208400243428,54107.834361231449,35.515584850644032,1515.2307995101908,1025.8029296702061
7.0499999999999989,7.014227970870718,17.566154134934973,46061.947760730633,54106.306638267073,35.514017399704976,1515.2177560414989,1025.8043886210749
7.35,7.3126971268693941,17.561938172096205,46043.012100786873,54089.421297751047,35.5012223468885,1515.1957068444369,1025.7969224910858
7.6499999999999995,7.6111661569855631,17.553773160859116,46043.037854186288,54099.8299729348,35.508282320455073,1515.1846649487945,1025.8056443656283
7.9499999999999993,7.9096339705097867,17.548405767526191,46033.821625486293,54095.824267780496,35.504898623971648,1515.1699536870835,1025.8056754867891
8.25,8.20810130101593,17.540525727785578,46026.638967263243,54097.402629418721,35.5054750067672,1515.1523450370571,1025.809355002018
8.5499999999999989,8.5065676411745059,17.532486990950357,46018.995503473721,54098.641719757878,35.505791618012076,1515.133966620592,1025.8128734426864
8.85,8.80503245351685,17.524949634313426,46017.854270933305,54106.888622628081,35.511295333865384,1515.122984406036,1025.8202475528806
9.1499999999999986,9.1034960956842585,17.519850046789642,46010.562673457811,54104.8035480216,35.50933990528879,1515.1106811742698,1025.8213076276804
9.45,9.4019600525999074,17.515234194526904,45998.074279219683,54095.990708597732,35.502461805320927,1515.0941844361644,1025.8184744306921
9.75,9.70042434970596,17.507929427238093,45987.480850885615,54092.826292096353,35.499579770392621,1515.0743057651728,1025.8193596126189
10.049999999999999,9.99888816137711,17.496691483022445,45974.414214525554,54091.757040536286,35.498003417078316,1515.0442932508067,1025.8222017622368
