% Device,CC1449004
% File name,CC1449004_20170822_043513
% Cast time (UTC),2017-08-22 04:35:13
% Cast time (local),2017-08-22 14:35:13
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-36.19023
% Start longitude,150.1394299
% Start altitude,22.229999542236328
% Start GPS horizontal error(Meter),2.3499999046325684
% Start GPS vertical error(Meter),4.2300000190734863
% Start GPS number of satellites,5
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),101.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2017-07-10
% Temperature calibration date,2017-07-08
% Pressure calibration date,2017-06-13
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14917895843295354,16.113164483564134,44713.109375,54378.092682302551,35.620888034011237,1510.8592915323791,1026.2008605343949
0.44999999999999996,0.44753172545642173,16.122423417510671,44712.305906229638,54364.872240470067,35.6117338582711,1510.882043523151,1026.1930042184683
0.74999999999999989,0.745887175677682,16.118054868753568,44710.583200158275,54368.55335554156,35.613998985840567,1510.8762605314128,1026.1970811285321
1.05,1.0442422442513308,16.112461289897276,44699.735632083524,54362.757944472381,35.609219063419069,1510.8585875859437,1026.1960201870456
1.35,1.3425973585815543,16.114102050119495,44701.798649287288,54363.097356223749,35.609466558273283,1510.868873692662,1026.1971569909085
1.65,1.6409532183760061,16.119445549216493,44698.62277016908,54352.171063041955,35.601713185014063,1510.8812563716006,1026.1912827813956
1.9500000000000002,1.9393104428788446,16.129128716041912,44705.277338163309,54347.464599616673,35.598838858550764,1510.9125574626203,1026.1881598427847
2.25,2.237667619520558,16.128293317652641,44707.958063672173,54351.827485731221,35.60186033043351,1510.9184655142781,1026.1920026341368
2.55,2.5360240828675313,16.122272321683454,44700.199102118968,54350.351498631688,35.600220756907,1510.9031151552108,1026.1934571636459
2.85,2.8343797341583925,16.117607512806902,44698.7286084714,54354.729411905937,35.602975767564239,1510.8969900754055,1026.1979793738894
3.15,3.132733695553108,16.112135571210779,44700.500298180195,54364.118619858571,35.609350227047322,1510.892572310092,1026.2054726526162
3.4499999999999997,3.4310861009674594,16.101719100199954,44689.968679567959,54365.084548678344,35.609182719591189,1510.8654509629091,1026.2090737342553
3.75,3.7294375911949262,16.096044990485339,44685.051516086896,54366.608181435091,35.609768209950232,1510.8537206655465,1026.21215899812
4.05,4.0277885680249668,16.093852726452173,44681.534684162434,54365.229492586448,35.608476349159325,1510.8504873977468,1026.2129961175981
4.35,4.326139517015041,16.087534297168894,44670.893357264322,54360.6401812512,35.604527939749822,1510.831541082204,1026.2127411365675
4.6499999999999995,4.6244900261866348,16.078910959218465,44662.874901644231,54362.2918168203,35.604991767516417,1510.8106240561508,1026.2164123585828
4.9499999999999993,4.9228392467218152,16.070694660929892,44658.186148811015,54367.458984439661,35.608064546905915,1510.7939634583468,1026.2219966492212
5.2499999999999991,5.2211872433812676,16.068897097265946,44658.674777869521,54370.433508479291,35.609995794002188,1510.7956594920988,1026.2252224204176
5.55,5.5195338251210195,16.058660961247078,44653.188358558873,54377.307141974823,35.614172382471615,1510.7740743928323,1026.2321210844616
5.85,5.8178788697598014,16.049770573991385,44645.388378929259,54379.583313939409,35.61507215820032,1510.7528227100934,1026.2361874647615
