% Device,CC1449004
% File name,CC1449004_20161026_001241
% Cast time (UTC),2016-10-26 00:12:41
% Cast time (local),2016-10-26 11:12:41
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-36.4000358
% Start longitude,150.1998572
% Start altitude,14
% Start GPS horizontal error(Meter),3.1500000953674316
% Start GPS vertical error(Meter),3.9000000953674316
% Start GPS number of satellites,4
% End latitude,-36.4007143
% End longitude,150.1995724
% End altitude,15.909999847412109
% End GPS horizontal error(Meter),4.1599998474121094
% End GPS vertical error(Meter),5.309999942779541
% End GPS number of satellites,5
% Cast duration (Seconds),181.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2015-01-26
% Temperature calibration date,2015-01-26
% Pressure calibration date,2015-01-12
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14924761366475067,16.131048408303826,44017.00390625,53508.244513120088,34.984528432780039,1510.1793248794525,1025.7071983245489
0.44999999999999996,0.44773805757578217,16.127213824820227,44018.244741761868,53514.74200179943,34.988895409618557,1510.177580429169,1025.7127651686353
0.74999999999999989,0.74623027850342127,16.126267375878843,44002.875240672838,53497.287802103296,34.975933072520604,1510.164690393379,1025.704339144449
1.05,1.0447228865489482,16.127199116456378,44011.300351231235,53506.318563790584,34.982490813682908,1510.1800933745194,1025.7104950838361
1.35,1.3432136258241099,16.12604417195741,44018.30372188097,53516.3357042442,34.989623383154346,1510.1897595678518,1025.7175728989289
1.65,1.6417037788760041,16.130350863876398,44018.329819394232,53510.763821436623,34.985730121426187,1510.2034500552593,1025.7149144060059
1.9500000000000002,1.940194311414561,16.129892136493538,44016.56085320111,53509.210171434293,34.984441762458808,1510.2055315078308,1025.7153552355153
2.25,2.2386844425889865,16.12798169182382,44016.178190997387,53511.230530123161,34.985667126499806,1510.2060619437382,1025.7180632804691
2.55,2.5371742576673775,16.122982010678538,44007.528870607661,53507.219952069725,34.982259389552752,1510.1917679329476,1025.717918088847
2.85,2.8356631373402119,16.116463697382386,44007.250859288892,53515.364530353007,34.987641590076372,1510.1829594611436,1025.7248825136251
3.15,3.1341518934300763,16.111962789264606,43991.116359214786,53501.600719854221,34.977129505718558,1510.1619892473841,1025.7191578624613
3.4499999999999997,3.4326414018706739,16.102576240481692,43978.245434011063,53498.161741376614,34.9738289510429,1510.1343475513504,1025.720102215111
3.75,3.7311296650997163,16.092521738701659,43974.798444671,53507.05746935794,34.9795083084244,1510.1150159483739,1025.7281063461519
4.05,4.0296154458315554,16.086271216807646,43978.500302026769,53519.702566773645,34.9882011274504,1510.110837728183,1025.7375544549493
4.35,4.328099361125763,16.08196914994895,43976.486920993877,53522.85665820929,34.990085179657434,1510.1047783352578,1025.7413177794676
4.6499999999999995,4.6265826156890091,16.064206683406567,43952.84787340762,53517.225125364843,34.984580240802863,1510.0488376041844,1025.74248608298
4.9499999999999993,4.925065983955986,16.036783625919551,43912.45032716258,53503.767165888108,34.9726550984448,1509.9557547104025,1025.7409267227104
5.2499999999999991,5.2235503673556121,16.031966312727782,43896.943508842094,53491.15269577712,34.962960811293073,1509.9347181639603,1025.7358995258326
5.55,5.5220368870729217,16.024952404291671,43872.355056370492,53470.330232218563,34.947104013510405,1509.8998034416813,1025.7266344380173
5.85,5.8205229632887168,15.99201567548945,43845.502595977225,53480.53989718049,34.952094071113684,1509.8091933624369,1025.7393381210036
6.1499999999999995,6.1190025049695329,15.9684364261062,43859.987846291362,53528.998995849623,34.985733740498333,1509.7804407855751,1025.7719374622272
6.4499999999999993,6.4174777510528509,15.950192612918276,43830.164721443085,53516.43292102158,34.975102349187523,1509.716920745879,1025.7692529583537
6.7499999999999991,6.7159528945345652,15.940784678969283,43821.433759661821,53518.067745013555,34.975498551458323,1509.6933583717128,1025.7730331247353
7.0499999999999989,7.0144257211960941,15.912142388472363,43800.024179052583,53529.370037822715,34.981570211893192,1509.6170360892606,1025.7855680319819
7.35,7.3128957355034414,15.882495587480165,43769.526514178069,53530.888813429032,34.98040268639825,1509.529176733033,1025.7927544498889
7.6499999999999995,7.6113652418928437,15.873676227179161,43751.293665790938,53520.135334313636,34.971773207918666,1509.4969400486236,1025.7894497080445
7.9499999999999993,7.9098331665148454,15.865060520521192,43759.283951226527,53541.195576171907,34.986429633413529,1509.4922631000698,1025.8040175960687
8.25,8.20830136068451,15.859724978259806,43727.1784253303,53508.899593176626,34.962296324669111,1509.4528377657598,1025.7879873732268
8.5499999999999989,8.5067711906095873,15.839878978931029,43706.730700234359,53509.868041947811,34.961431721757478,1509.3954911065894,1025.7931642389883
8.85,8.805238874031037,15.824342478814224,43698.920500985543,53520.666650862877,34.968069491491214,1509.3601194481719,1025.8031322944169
9.1499999999999986,9.10370294499513,15.794415383568765,43679.810788821771,53536.507850551512,34.977331163734036,1509.2832494633888,1025.8183862206629
9.45,9.4021630862601242,15.766318307776702,43658.616356219791,53547.411402971047,34.983107536399196,1509.207943578994,1025.8305355348987
9.75,9.7006198327693269,15.737774634650918,43636.012687302573,53557.187498143867,34.988017641217617,1509.1301899985417,1025.8421128682451
10.049999999999999,9.99907315801437,15.710174774111275,43615.750472676933,53568.611182201792,34.994194259884011,1509.0567669418379,1025.8544449691544
10.35,10.297525798291849,15.690226611657451,43577.27108663223,53547.589575413745,34.9772122641713,1508.9801944780013,1025.8472120519441
10.649999999999999,10.595981905306228,15.682840662337037,43542.345020611319,53514.386301104,34.952264754973271,1508.9333447474012,1025.8310038450943
10.95,10.894438925518415,15.678302755613892,43549.516687853429,53529.171250690008,34.962613912303851,1508.9362250677111,1025.8413248463266
11.25,11.192893660786327,15.664719699983095,43538.235288896169,53533.18012531913,34.9644063830399,1508.9011104423594,1025.8471016998
11.549999999999999,11.491346216430147,15.651991591056332,43533.597615414357,53544.237209022736,34.971413660738385,1508.8746802084816,1025.8566989914782
11.85,11.789798024228517,15.659754630214064,43536.134851809678,53537.134259361948,34.96668442654255,1508.8982792609611,1025.852633178979
12.149999999999999,12.088252111084477,15.655014865075968,43511.927212888462,53513.603865714831,34.949007431815666,1508.8680473194102,1025.8414222092767
12.45,12.386707150512459,15.648521187816233,43508.916420446905,53518.449317521583,34.951941510292293,1508.8562513098927,1025.8464752335588
12.75,12.68516109518775,15.645721602077094,43507.591804641823,53520.506082512853,34.953114504891822,1508.853886903735,1025.8493384135268
13.049999999999999,12.983614488109581,15.647406249721836,43509.925384124886,53521.1584188384,34.953598090550429,1508.8646528605457,1025.8506586754227
13.35,13.282067224572106,15.650401318896339,43517.248395325529,53526.222353795725,34.957405007772792,1508.8833404541365,1025.8542416770492
