% Device,CC1449004
% File name,CC1449004_20171010_021222
% Cast time (UTC),2017-10-10 02:12:22
% Cast time (local),2017-10-10 13:12:22
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-36.310161
% Start longitude,150.150421
% Start altitude,43.819999694824219
% Start GPS horizontal error(Meter),9.3599996566772461
% Start GPS vertical error(Meter),5.1100001335144043
% Start GPS number of satellites,3
% End latitude,-36.3099921
% End longitude,150.1488429
% End altitude,33.459999084472656
% End GPS horizontal error(Meter),5.2300000190734863
% End GPS vertical error(Meter),5.8400001525878906
% End GPS number of satellites,5
% Cast duration (Seconds),178.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2017-07-10
% Temperature calibration date,2017-07-08
% Pressure calibration date,2017-06-13
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14919490055015897,16.776286604852491,45443.405010828472,54388.9951740589,35.674990189634173,1512.9345342088809,1026.0873573088243
0.44999999999999996,0.44757143083153977,16.788028075440785,45466.650303405731,54401.526462703448,35.684868077718072,1512.9861851627552,1026.0934865766897
0.74999999999999989,0.7459492814341625,16.765553160853191,45454.048163679923,54415.714295248406,35.693686729134669,1512.93367149515,1026.1069089313273
1.05,1.0443281266957833,16.772701838318316,45432.585320087055,54380.711949079036,35.6683041504603,1512.9310064951837,1026.0870361819618
1.35,1.3427085250956989,16.775687463377043,45449.0007749754,54396.472607205556,35.679974125325067,1512.9583766789795,1026.0966172527108
1.65,1.6410873768761716,16.771417536972937,45443.501946074008,54395.451035209444,35.678819720570921,1512.9491813838085,1026.0980639945044
1.9500000000000002,1.9394666698498635,16.772591717069272,45437.232706024173,54386.418029525135,35.672136617576356,1512.9500176794825,1026.093973405171
2.25,2.2378469821431715,16.765932974662846,45422.602063447215,54377.5738123732,35.665070767233644,1512.9268398370496,1026.0914439348985
2.55,2.53622678931185,16.748703603373606,45406.772432838625,54381.05679186817,35.666363426955506,1512.8814330942612,1026.0978381170562
2.85,2.8346046731330246,16.7333626862563,45394.7448569584,54386.636895554882,35.669321575546029,1512.843606193082,1026.105062924818
3.15,3.1329805106723283,16.723845804964096,45390.667701083978,54394.156177812853,35.674093777939341,1512.8253967925605,1026.1123028133459
3.4499999999999997,3.4313543253554726,16.708230086853337,45378.030583826141,54399.372125514317,35.676761672332887,1512.7863793415036,1026.1193666959193
3.75,3.7297278863645484,16.700698532231463,45358.690442555715,54386.007955594439,35.666310679385113,1512.7566403817111,1026.1144381653169
4.05,4.0281012518042516,16.707743720587249,45376.296364575814,54397.927479085549,35.675428964297396,1512.7933406301793,1026.1211024253835
4.35,4.3264722897076311,16.694664740954469,45371.05612605514,54408.707214630209,35.68235576228907,1512.7668490529757,1026.1308378473345
4.6499999999999995,4.62484196146819,16.6626561689888,45325.78865293807,54396.182121815713,35.670868281180077,1512.6620581506181,1026.13088957742
4.9499999999999993,4.9232124447219672,16.632726847701065,45275.580024938543,54374.987483480967,35.6531420670653,1512.5562847625513,1026.12564681457
5.2499999999999991,5.2215826514063481,16.611968791417457,45256.686752411457,54379.410620131159,35.654863766435248,1512.5005239569671,1026.1331824779977
5.55,5.5199501694344217,16.590397954987868,45242.311045197326,54390.331987399863,35.66130182059748,1512.4476978027803,1026.1445307708891
5.85,5.8183156932862348,16.578921952788363,45228.98905640986,54389.32388358462,35.659657775202611,1512.4160769044304,1026.14728973222
6.1499999999999995,6.11667978325637,16.570674381479517,45227.019296761704,54397.745489680048,35.665163930039739,1512.402440868595,1026.1547842998305
6.4499999999999993,6.4150419318854146,16.56387775009599,45225.18454231615,54404.433597646821,35.669494671832204,1512.3918382347765,1026.1610339315553
6.7499999999999991,6.7134029025293129,16.561697153995894,45223.716585905255,54405.522010254681,35.670025840904046,1512.3908295288677,1026.1632777952323
7.0499999999999989,7.0117635186204348,16.559656370759104,45219.998342753592,54403.72020805478,35.6684423545091,1512.3878100304448,1026.1638633710948
7.35,7.3101239494317243,16.556932179408992,45216.080126416047,54402.572272671423,35.667292531345211,1512.3832208122221,1026.1649428681681
7.6499999999999995,7.6084839458087323,16.5515297898555,45210.324867512922,54402.720063691479,35.666911109388238,1512.3714085643251,1026.1672423057862
7.9499999999999993,7.9068433680474426,16.544849552710069,45202.456658016978,54401.998255723993,35.665802523594657,1512.3548882963696,1026.169282796156
8.25,8.2052015423679379,16.539852911214339,45204.069463400214,54410.483301442633,35.671575502449841,1512.3513828347534,1026.1762170544512
8.5499999999999989,8.50355863908271,16.535848226063496,45198.106865411006,54408.551643649189,35.669761043725167,1512.3421464252167,1026.17708602174
8.85,8.8019153906489738,16.531378559329745,45193.024520972773,54408.288490125815,35.669140631050425,1512.3328747392648,1026.1789818759805
9.1499999999999986,9.1002716238034935,16.527044352909151,45188.368848876227,54408.361530442737,35.6687764182331,1512.3243065821118,1026.1810427060293
9.45,9.3986270170593329,16.523723191315355,45188.095399878643,54412.383966245216,35.6713841753494,1512.3222268088171,1026.1851500631174
9.75,9.696981782102025,16.517836008811631,45179.194812163616,54409.380588351123,35.668651695370833,1512.3062247081532,1026.1857547362458
10.049999999999999,9.9953363960175672,16.514437345897207,45173.992446408112,54407.569190953487,35.666966657936264,1512.2989658150141,1026.1865802560724
10.35,10.293691036912623,16.508013071615963,45162.565768898647,54402.225530498523,35.662477005374214,1512.2793080868912,1026.1859597387081
10.649999999999999,10.59204488557789,16.499359526061422,45158.526898389464,54408.70342833858,35.666519648488041,1512.2627129360674,1026.1924206103995
10.95,10.890397734836379,16.492642037291,45148.800489862668,54405.791331973676,35.663795613625624,1512.244190717003,1026.1932252650588
11.25,11.188749818709539,16.486218043826923,45145.417187719606,54410.138253656944,35.66642539797899,1512.2327193894823,1026.1980763598649
11.549999999999999,11.487100930732655,16.480221575921043,45138.755722785223,54409.974209236068,35.665769750764,1512.2187582419922,1026.2003013220981
11.85,11.785450714932923,16.472580681088566,45137.320863503715,54418.268796190765,35.671214799563764,1512.2068318291297,1026.20760130216
12.149999999999999,12.083799416687921,16.464393114147835,45125.215652283434,54414.4171217672,35.667696458871504,1512.1829196739482,1026.2081382835888
12.45,12.382147790541035,16.457306315139931,45116.911145197242,54413.703102462365,35.666559552274485,1512.165084890974,1026.2102476256696
12.75,12.680495418727849,16.447110308375045,45106.310377423193,54414.300589139923,35.666169247145191,1512.1386685573705,1026.2136585404985
